Attribute,Min,Max,Mean,Median,Q25,Q50,Q75,Q95,Std
#Stars,0,64652,22.79,0.0,0.0,0.0,1.0,16.0,687.78
#Commits,1,564658,92.09,7.0,3.0,7.0,22.0,148.0,3435.95
